# Graphite size distribution
#
# a [um]     f(a) [cm^-1 H^-1]
#
     0.010000000   1.8513911e-05
     0.011220189   1.1088770e-05
     0.012589250   6.8589070e-06
     0.014125380   4.4079211e-06
     0.015848930   2.9397361e-06
     0.017782791   2.0209040e-06
     0.019952629   1.4192329e-06
     0.022387210   1.0097740e-06
     0.025118859   7.2329129e-07
     0.028183831   5.1937923e-07
     0.031622769   3.7291881e-07
     0.035481339   2.6733261e-07
     0.039810720   1.9117670e-07
     0.044668359   1.3632010e-07
     0.050118729   9.6896478e-08
     0.056234130   6.8643999e-08
     0.063095749   4.8460109e-08
     0.070794581   3.4087918e-08
     0.079432821   2.3888610e-08
     0.089125097   1.6675591e-08
     0.099999997   1.1592300e-08
      0.11220180   8.0225080e-09
      0.12589260   5.5244351e-09
      0.14125380   3.7826000e-09
      0.15848929   2.5725060e-09
      0.17782790   1.7350560e-09
      0.19952620   1.1579390e-09
      0.22387219   7.6218759e-10
      0.25118870   4.9251248e-10
      0.28183829   3.1034700e-10
      0.31622782   1.8888890e-10
      0.35481331   1.0954350e-10
      0.39810730   5.9372458e-11
      0.44668370   2.9259851e-11
      0.50118731   1.2610120e-11
      0.56234130   4.4970520e-12
      0.63095722   1.2271650e-12
      0.70794602   2.2935091e-13
      0.79432837   2.5094999e-14
