# Neutral PAH molecules size distribution
#
# a [um]     f(a) [cm^-1 H^-1]
#
   0.00035479701       16.774660
   0.00039808871       14.105830
   0.00044666290       11.453490
   0.00050116419       8.6458254
   0.00056231539       6.0383272
   0.00063092820       3.8832159
   0.00070791302       2.2894499
   0.00079429128       1.2490280
   0.00089120988      0.62366438
   0.00099995383      0.28813881
    0.0011219670      0.12308030
    0.0012588670     0.049053300
    0.0014124730     0.018827571
    0.0015848200    0.0074147908
    0.0017781970    0.0033589960
    0.0019951700    0.0018772340
    0.0022386180    0.0012536780
    0.0025117711   0.00089074549
    0.0028182529   0.00062367943
    0.0031621320   0.00042400611
    0.0035479701   0.00027513571
    0.0039808870   0.00017048210
    0.0044666311   9.6617252e-05
    0.0050116392   5.4592991e-05
    0.0056231539   3.5285771e-05
    0.0063092818   2.0899130e-05
    0.0070791299   1.1951750e-05
    0.0079429179   6.1824071e-06
    0.0089120948   3.0411959e-06
    0.0099995395   1.4124040e-06
