# Silicates size distribution
#
# a [um]     f(a) [cm^-1 H^-1]
#
    0.0010000000     0.073127650
    0.0011220180     0.050545052
    0.0012589250     0.034937128
    0.0014125381     0.024149509
    0.0015848930     0.016693410
    0.0017782790     0.011539800
    0.0019952620    0.0079775658
    0.0022387211    0.0055152238
    0.0025118871    0.0038131040
    0.0028183831    0.0026364590
    0.0031622781    0.0018230260
    0.0035481330    0.0012606600
    0.0039810709   0.00087184529
    0.0044668371   0.00060300640
    0.0050118729   0.00041711071
    0.0056234131   0.00028855770
    0.0063095729   0.00019965120
    0.0070794562   0.00013815810
    0.0079432840   9.5620882e-05
    0.0089125098   6.6192857e-05
     0.010000000   4.5831130e-05
     0.011220189   3.1740321e-05
     0.012589250   2.1987500e-05
     0.014125380   1.5235870e-05
     0.015848930   1.0560870e-05
     0.017782791   7.3230231e-06
     0.019952629   5.0799149e-06
     0.022387210   3.5254830e-06
     0.025118859   2.4479280e-06
     0.028183831   1.7006701e-06
     0.031622769   1.1822540e-06
     0.035481339   8.2242917e-07
     0.039810720   5.7255397e-07
     0.044668359   3.9893209e-07
     0.050118729   2.7821679e-07
     0.056234130   1.9422770e-07
     0.063095749   1.3574559e-07
     0.070794581   9.4989360e-08
     0.079432821   6.6559288e-08
     0.089125097   4.6706791e-08
     0.099999997   3.2828101e-08
      0.11220180   2.3113421e-08
      0.12589260   1.6304050e-08
      0.14125380   1.1524000e-08
      0.15848929   8.1630107e-09
      0.17782790   5.7803242e-09
      0.19952620   3.9440611e-09
      0.22387219   2.3749260e-09
      0.25118870   1.0855260e-09
      0.28183829   2.9425890e-10
      0.31622782   3.1951990e-11
      0.35481331   7.5470549e-13
      0.39810730   1.5228680e-15
      0.44668370   6.3939633e-20
      0.50118731   6.7530107e-27
      0.56234130   7.8071320e-38
      0.63095722       0.0000000
      0.70794602       0.0000000
      0.79432837       0.0000000
