#Draine & li (2006) dust model effective quantities
#  wave      Cabs     Cscat    Tau      albedo    g
#  [um]     [cm^2]    [cm^2]   [/N_H]             
#
     0.091199988   3.6557670e-15   1.1929414e-15   2.3438089e-21      0.24603282      0.66057348
     0.092053187   3.6134428e-15   1.1984067e-15   2.3259918e-21      0.24905324      0.65778656
     0.092914369   3.5723789e-15   1.2038838e-15   2.3087895e-21      0.25205561      0.65498438
     0.093783607   3.5321962e-15   1.2090221e-15   2.2918494e-21      0.25500241      0.65226265
     0.094660976   3.4919644e-15   1.2128787e-15   2.2742661e-21      0.25779366      0.64989630
     0.095546554   3.4472243e-15   1.2109710e-15   2.2517171e-21      0.25996570      0.64923255
     0.096440417   3.4028726e-15   1.2089050e-15   2.2292793e-21      0.26213427      0.64862978
     0.097342641   3.3590084e-15   1.2067178e-15   2.2070187e-21      0.26429920      0.64806932
     0.098253307   3.3158482e-15   1.2044383e-15   2.1850536e-21      0.26645176      0.64753616
     0.099172492   3.2728795e-15   1.2021027e-15   2.1631541e-21      0.26862738      0.64702339
      0.10010028   3.2271078e-15   1.1997710e-15   2.1399014e-21      0.27101962      0.64655425
      0.10103674   3.1764493e-15   1.1973163e-15   2.1142271e-21      0.27374954      0.64657215
      0.10198196   3.1233109e-15   1.1948507e-15   2.0873488e-21      0.27670357      0.64660715
      0.10293603   3.0700754e-15   1.1924068e-15   2.0604341e-21      0.27974470      0.64660756
      0.10389903   3.0175000e-15   1.1899727e-15   2.0338431e-21      0.28282363      0.64657906
      0.10487103   2.9643077e-15   1.1874681e-15   2.0069199e-21      0.28601450      0.64655897
      0.10585212   2.9112752e-15   1.1840080e-15   1.9796120e-21      0.28911505      0.64685604
      0.10684240   2.8620508e-15   1.1750976e-15   1.9515103e-21      0.29107119      0.64907502
      0.10784193   2.8122962e-15   1.1647230e-15   1.9224446e-21      0.29286331      0.65185700
      0.10885082   2.7617715e-15   1.1542499e-15   1.8929589e-21      0.29475066      0.65471932
      0.10986915   2.7122132e-15   1.1437462e-15   1.8639256e-21      0.29661780      0.65762519
      0.11089700   2.6653670e-15   1.1332445e-15   1.8362044e-21      0.29833125      0.66055274
      0.11193447   2.6194504e-15   1.1229743e-15   1.8090443e-21      0.30006597      0.66345388
      0.11298165   2.5777352e-15   1.1164629e-15   1.7857322e-21      0.30222064      0.66530396
      0.11403862   2.5381532e-15   1.1117459e-15   1.7643186e-21      0.30459635      0.66663256
      0.11510548   2.4988752e-15   1.1070182e-15   1.7430467e-21      0.30700247      0.66794978
      0.11618233   2.4600386e-15   1.1023170e-15   1.7220010e-21      0.30943485      0.66923671
      0.11726924   2.4237009e-15   1.0976191e-15   1.7021649e-21      0.31170671      0.67050160
      0.11836632   2.3876643e-15   1.0928927e-15   1.6824605e-21      0.31399936      0.67176602
      0.11947367   2.3481265e-15   1.0882370e-15   1.6610979e-21      0.31668274      0.67311946
      0.12059138   2.3063201e-15   1.0836401e-15   1.6386671e-21      0.31966160      0.67455924
      0.12171954   2.2660697e-15   1.0790243e-15   1.6169793e-21      0.32256921      0.67602864
      0.12285826   2.2263300e-15   1.0743777e-15   1.5955235e-21      0.32549920      0.67753278
      0.12400763   2.1884561e-15   1.0697063e-15   1.5749576e-21      0.32831582      0.67906887
      0.12516775   2.1502121e-15   1.0649962e-15   1.5541940e-21      0.33123707      0.68064394
      0.12633873   2.1155344e-15   1.0599207e-15   1.5349778e-21      0.33378545      0.68176360
      0.12752066   2.0862238e-15   1.0543464e-15   1.5181149e-21      0.33571815      0.68222560
      0.12871365   2.0566541e-15   1.0486974e-15   1.5010906e-21      0.33770649      0.68270363
      0.12991780   2.0222674e-15   1.0430109e-15   1.4817197e-21      0.34026631      0.68324122
      0.13113321   1.9952049e-15   1.0372784e-15   1.4658669e-21      0.34205576      0.68383401
      0.13236000   1.9719237e-15   1.0315007e-15   1.4518202e-21      0.34344153      0.68448338
      0.13359826   1.9521430e-15   1.0251351e-15   1.4391814e-21      0.34431957      0.68477216
      0.13484811   1.9383142e-15   1.0173916e-15   1.4287536e-21      0.34421274      0.68408281
      0.13610965   1.9269596e-15   1.0093717e-15   1.4193882e-21      0.34375266      0.68328868
      0.13738299   1.9159513e-15   1.0012796e-15   1.4101553e-21      0.34322946      0.68255430
      0.13866824   1.9059581e-15   9.9311708e-16   1.4013790e-21      0.34256341      0.68187476
      0.13996552   1.8971258e-15   9.8488349e-16   1.3931296e-21      0.34173502      0.68125324
      0.14127493   1.8862210e-15   9.7878487e-16   1.3849103e-21      0.34163450      0.68005265
      0.14259659   1.8604153e-15   9.8373637e-16   1.3748297e-21      0.34588041      0.67572485
      0.14393062   1.8322328e-15   9.9098512e-16   1.3647105e-21      0.35101262      0.67074177
      0.14527713   1.8046418e-15   9.9844718e-16   1.3549804e-21      0.35619532      0.66570888
      0.14663623   1.7776836e-15   1.0059824e-15   1.3455916e-21      0.36138760      0.66066567
      0.14800805   1.7512524e-15   1.0135908e-15   1.3364928e-21      0.36659974      0.65561242
      0.14939271   1.7251614e-15   1.0211313e-15   1.3275258e-21      0.37182174      0.65070614
      0.15079031   1.6953688e-15   1.0252704e-15   1.3151252e-21      0.37684907      0.64960160
      0.15220100   1.6652944e-15   1.0289129e-15   1.3023483e-21      0.38189820      0.64901846
      0.15362488   1.6355328e-15   1.0324683e-15   1.2896805e-21      0.38698195      0.64850239
      0.15506208   1.6062546e-15   1.0360589e-15   1.2772634e-21      0.39210295      0.64791705
      0.15651272   1.5774411e-15   1.0396848e-15   1.2650880e-21      0.39726205      0.64726160
      0.15797694   1.5491954e-15   1.0433464e-15   1.2532044e-21      0.40244150      0.64652699
      0.15945485   1.5309436e-15   1.0464082e-15   1.2458617e-21      0.40600130      0.64554868
      0.16094659   1.5161399e-15   1.0493048e-15   1.2401060e-21      0.40901479      0.64452765
      0.16245229   1.5028824e-15   1.0521689e-15   1.2350819e-21      0.41179953      0.64351435
      0.16397207   1.4903320e-15   1.0550615e-15   1.2304134e-21      0.41449838      0.64252916
      0.16550607   1.4785455e-15   1.0579827e-15   1.2261280e-21      0.41709873      0.64157271
      0.16705443   1.4678826e-15   1.0609333e-15   1.2224001e-21      0.41953758      0.64065491
      0.16861726   1.4593059e-15   1.0671651e-15   1.2212665e-21      0.42239356      0.63880749
      0.17019472   1.4520645e-15   1.0751998e-15   1.2216500e-21      0.42544019      0.63647383
      0.17178694   1.4457698e-15   1.0839821e-15   1.2228524e-21      0.42849344      0.63396915
      0.17339405   1.4403086e-15   1.0928480e-15   1.2244983e-21      0.43141745      0.63148698
      0.17501619   1.4360328e-15   1.1017987e-15   1.2267581e-21      0.43414966      0.62902803
      0.17665351   1.4331622e-15   1.1108351e-15   1.2297386e-21      0.43664948      0.62659213
      0.17830615   1.4315035e-15   1.1216542e-15   1.2341666e-21      0.43932037      0.62354978
      0.17997425   1.4312135e-15   1.1339156e-15   1.2399534e-21      0.44205011      0.62006099
      0.18165796   1.4325156e-15   1.1468907e-15   1.2468548e-21      0.44463360      0.61641659
      0.18335742   1.4357192e-15   1.1599897e-15   1.2547353e-21      0.44688745      0.61283582
      0.18507277   1.4416819e-15   1.1732149e-15   1.2640105e-21      0.44866585      0.60932129
      0.18680417   1.4495291e-15   1.1865665e-15   1.2742578e-21      0.45012271      0.60586832
      0.18855178   1.4625071e-15   1.1992511e-15   1.2866628e-21      0.45054847      0.60243344
      0.19031573   1.4811359e-15   1.2110892e-15   1.3013901e-21      0.44984693      0.59904324
      0.19209618   1.5037792e-15   1.2224425e-15   1.3178237e-21      0.44840173      0.59577925
      0.19389329   1.5301658e-15   1.2339057e-15   1.3361198e-21      0.44640876      0.59272154
      0.19570721   1.5609837e-15   1.2454806e-15   1.3566120e-21      0.44378993      0.58985715
      0.19753810   1.5946562e-15   1.2571660e-15   1.3785375e-21      0.44082904      0.58717110
      0.19938612   1.6322692e-15   1.2679787e-15   1.4019459e-21      0.43719666      0.58431502
      0.20125143   1.6745549e-15   1.2771648e-15   1.4268268e-21      0.43268498      0.58103751
      0.20313419   1.7198456e-15   1.2852001e-15   1.4526039e-21      0.42768071      0.57756543
      0.20503456   1.7664163e-15   1.2933095e-15   1.4790357e-21      0.42268805      0.57438803
      0.20695271   1.8115347e-15   1.3014913e-15   1.5048003e-21      0.41807916      0.57145609
      0.20888881   1.8529923e-15   1.3097445e-15   1.5288300e-21      0.41411744      0.56877201
      0.21084302   1.8877420e-15   1.3178150e-15   1.5495288e-21      0.41110328      0.56615675
      0.21281551   1.9121521e-15   1.3252528e-15   1.5649236e-21      0.40935651      0.56329143
      0.21480645   1.9217971e-15   1.3321247e-15   1.5729078e-21      0.40939050      0.56024995
      0.21681602   1.9183185e-15   1.3390461e-15   1.5745720e-21      0.41108265      0.55743610
      0.21884439   1.9017109e-15   1.3460147e-15   1.5699126e-21      0.41444841      0.55483998
      0.22089173   1.8723700e-15   1.3530321e-15   1.5591216e-21      0.41949253      0.55246337
      0.22295823   1.8316426e-15   1.3593415e-15   1.5424844e-21      0.42599443      0.55033135
      0.22504407   1.7815236e-15   1.3613347e-15   1.5192210e-21      0.43315178      0.54857261
      0.22714941   1.7242056e-15   1.3587533e-15   1.4902662e-21      0.44073027      0.54718543
      0.22927445   1.6626051e-15   1.3557658e-15   1.4590452e-21      0.44917138      0.54599827
      0.23141937   1.5989138e-15   1.3527511e-15   1.4268003e-21      0.45830105      0.54500544
      0.23358436   1.5350460e-15   1.3497092e-15   1.3944569e-21      0.46787652      0.54421352
      0.23576960   1.4724372e-15   1.3465521e-15   1.3626665e-21      0.47767195      0.54362216
      0.23797529   1.4150104e-15   1.3393790e-15   1.3314396e-21      0.48627075      0.54298369
      0.24020161   1.3625454e-15   1.3287349e-15   1.3009334e-21      0.49371852      0.54234363
      0.24244876   1.3134620e-15   1.3171187e-15   1.2715920e-21      0.50069504      0.54191737
      0.24471693   1.2672973e-15   1.3053974e-15   1.2436105e-21      0.50740472      0.54179500
      0.24700632   1.2241609e-15   1.2935703e-15   1.2170418e-21      0.51378411      0.54199296
      0.24931712   1.1847890e-15   1.2816367e-15   1.1922413e-21      0.51963321      0.54257497
      0.25164955   1.1494820e-15   1.2713633e-15   1.1702083e-21      0.52517330      0.54319619
      0.25400379   1.1171724e-15   1.2629907e-15   1.1505430e-21      0.53063200      0.54365203
      0.25638007   1.0874363e-15   1.2554288e-15   1.1325136e-21      0.53585194      0.54413102
      0.25877857   1.0599418e-15   1.2477982e-15   1.1155345e-21      0.54070137      0.54480646
      0.26119951   1.0345333e-15   1.2400980e-15   1.0995302e-21      0.54518637      0.54568896
      0.26364310   1.0113992e-15   1.2323280e-15   1.0845915e-21      0.54923254      0.54684210
      0.26610954   9.9060121e-16   1.2243334e-15   1.0706735e-21      0.55276277      0.54783061
      0.26859907   9.7219566e-16   1.2160383e-15   1.0577667e-21      0.55571677      0.54844731
      0.27111188   9.5563471e-16   1.2075137e-15   1.0456407e-21      0.55822047      0.54886317
      0.27364820   9.4008732e-16   1.1989103e-15   1.0339664e-21      0.56050100      0.54946665
      0.27620825   9.2577213e-16   1.1902275e-15   1.0228495e-21      0.56248947      0.55029894
      0.27879225   9.1253460e-16   1.1814644e-15   1.0122146e-21      0.56421440      0.55136160
      0.28140042   9.0011936e-16   1.1732180e-15   1.0022270e-21      0.56585967      0.55242799
      0.28403300   8.8850732e-16   1.1659456e-15   9.9309850e-22      0.56752120      0.55332373
      0.28669020   8.7763251e-16   1.1596163e-15   9.8478226e-22      0.56920702      0.55404632
      0.28937226   8.6729544e-16   1.1532287e-15   9.7669772e-22      0.57075719      0.55496454
      0.29207941   8.5758815e-16   1.1467819e-15   9.6888903e-22      0.57214081      0.55612281
      0.29481189   8.4836860e-16   1.1402753e-15   9.6128719e-22      0.57339340      0.55748768
      0.29756993   8.3959036e-16   1.1338040e-15   9.5391575e-22      0.57454507      0.55885313
      0.30035377   8.3106983e-16   1.1274851e-15   9.4674254e-22      0.57567193      0.55993890
      0.30316366   8.2243363e-16   1.1214092e-15   9.3963089e-22      0.57690323      0.56050167
      0.30599983   8.1227436e-16   1.1152768e-15   9.3175568e-22      0.57859777      0.56121681
      0.30886254   8.0163026e-16   1.1090873e-15   9.2361852e-22      0.58045591      0.56207582
      0.31175203   7.9099923e-16   1.1028402e-15   9.1545981e-22      0.58233035      0.56307510
      0.31466855   7.8046877e-16   1.0965876e-15   9.0734711e-22      0.58420601      0.56410467
      0.31761236   7.7000855e-16   1.0904241e-15   8.9931139e-22      0.58611319      0.56496117
      0.32058370   7.5967220e-16   1.0845338e-15   8.9146759e-22      0.58807627      0.56525636
      0.32358284   7.4935647e-16   1.0785885e-15   8.8360723e-22      0.59005524      0.56574328
      0.32661004   7.3910070e-16   1.0725879e-15   8.7574906e-22      0.59203766      0.56639810
      0.32966556   7.2897420e-16   1.0665313e-15   8.6792634e-22      0.59400057      0.56722799
      0.33274967   7.1900590e-16   1.0604384e-15   8.6016257e-22      0.59593796      0.56818879
      0.33586263   7.0917665e-16   1.0543574e-15   8.5247173e-22      0.59786620      0.56916027
      0.33900471   6.9955479e-16   1.0485275e-15   8.4500253e-22      0.59981587      0.56951543
      0.34217619   6.9016612e-16   1.0426433e-15   8.3761978e-22      0.60170684      0.56998293
      0.34537733   6.8079000e-16   1.0367041e-15   8.3021656e-22      0.60361436      0.57056329
      0.34860843   6.7147878e-16   1.0307095e-15   8.2281791e-22      0.60552027      0.57126131
      0.35186975   6.6232641e-16   1.0246503e-15   8.1546480e-22      0.60738852      0.57205283
      0.35516158   6.5308581e-16   1.0184765e-15   8.0801368e-22      0.60929617      0.57279042
      0.35848421   6.4403331e-16   1.0119404e-15   8.0047831e-22      0.61108482      0.57265459
      0.36183792   6.3511557e-16   1.0053114e-15   7.9296321e-22      0.61283521      0.57253791
      0.36522301   6.2628021e-16   9.9862050e-16   7.8545800e-22      0.61457324      0.57255311
      0.36863976   6.1749132e-16   9.9186708e-16   7.7794503e-22      0.61631212      0.57270642
      0.37208848   6.0874934e-16   9.8505088e-16   7.7042439e-22      0.61805167      0.57300395
      0.37556947   6.0023437e-16   9.7824806e-16   7.6301994e-22      0.61973959      0.57339751
      0.37908301   5.9199800e-16   9.7179830e-16   7.5592084e-22      0.62143535      0.57338363
      0.38262943   5.8384515e-16   9.6540721e-16   7.4889047e-22      0.62314394      0.57331396
      0.38620903   5.7570868e-16   9.5895640e-16   7.4183914e-22      0.62486364      0.57333432
      0.38982211   5.6762017e-16   9.5244529e-16   7.3478186e-22      0.62658176      0.57344895
      0.39346900   5.5972585e-16   9.4587336e-16   7.2778905e-22      0.62823715      0.57367785
      0.39715000   5.5179476e-16   9.3920065e-16   7.2072974e-22      0.62991519      0.57394026
      0.40086544   5.4393558e-16   9.3209799e-16   7.1349736e-22      0.63148834      0.57351978
