Graphitic size distribution
All integrals for RT benchmarks carried out on this size grid
a [um]     f(a) [cm^-1 H^-1]
==========================
0.00035       13.9907
0.000354813   13.3585
0.000398107   8.99578
0.000446684   5.99996
0.000501187   3.96571
0.000562341   2.59886
0.000630957   1.6895
0.000707946   1.09014
0.000794328   0.698527
0.000891251   0.444728
0.001         0.28148
0.00112202    0.177207
0.00125893    0.111029
0.00141254    0.0692742
0.00158489    0.043066
0.00177828    0.0266914
0.00199526    0.0165034
0.00223872    0.010186
0.00251189    0.00628
0.00281838    0.00387036
0.00316228    0.00238605
0.00354813    0.00147262
0.00398107    0.000910581
0.00446684    0.000564587
0.00501187    0.000351326
0.00562341    0.000219608
0.00630957    0.000138025
0.00707946    8.73103e-05
0.00794328    5.56432e-05
0.00891251    3.57636e-05
0.01          2.32064e-05
0.0112202     1.52177e-05
0.0125893     1.00948e-05
0.0141254     6.78038e-06
0.0158489     4.61496e-06
0.0177828     3.185e-06
0.0199526     2.22984e-06
0.0223872     1.58382e-06
0.0251189     1.14101e-06
0.0281838     8.33093e-07
0.0316228     6.15619e-07
0.0354813     4.59445e-07
0.0398107     3.45268e-07
0.0446684     2.60239e-07
0.0501187     1.95758e-07
0.0562341     1.46073e-07
0.0630957     1.07374e-07
0.0707946     7.71558e-08
0.0794328     5.37758e-08
0.0891251     3.60934e-08
0.1           2.3205e-08
0.112202      1.42633e-08
0.125893      8.41017e-09
0.141254      4.80484e-09
0.158489      2.70218e-09
0.177828      1.51362e-09
0.199526      8.23676e-10
0.223872      3.93624e-10
0.251189      1.29804e-10
0.281838      1.79646e-11
0.316228      4.03236e-13
0.33          4.55911e-14
