Silicate size distribution
All integrals for RT benchmarks carried out on this size grid
a [um]     f(a) [cm^-1 H^-1]
==========================
0.00035       10.7313
0.000354813   10.2442
0.000398107   6.84845
0.000446684   4.52511
0.000501187   2.97476
0.000562341   1.95147
0.000630957   1.2792
0.000707946   0.838361
0.000794328   0.549486
0.000891251   0.360213
0.001         0.236194
0.00112202    0.154917
0.00125893    0.101641
0.00141254    0.0667112
0.00158489    0.0438034
0.00177828    0.0287741
0.00199526    0.0189111
0.00223872    0.0124357
0.00251189    0.00818249
0.00281838    0.00538769
0.00316228    0.00355009
0.00354813    0.00234121
0.00398107    0.00154537
0.00446684    0.00102107
0.00501187    0.000675403
0.00562341    0.000447286
0.00630957    0.000296601
0.00707946    0.000196956
0.00794328    0.000130987
0.00891251    8.72549e-05
0.01          5.82245e-05
0.0112202     3.89237e-05
0.0125893     2.60708e-05
0.0141254     1.7497e-05
0.0158489     1.17668e-05
0.0177828     7.92919e-06
0.0199526     5.35406e-06
0.0223872     3.62224e-06
0.0251189     2.45501e-06
0.0281838     1.6666e-06
0.0316228     1.13285e-06
0.0354813     7.70781e-07
0.0398107     5.24684e-07
0.0446684     3.57144e-07
0.0501187     2.42941e-07
0.0562341     1.65033e-07
0.0630957     1.1188e-07
0.0707946     7.56375e-08
0.0794328     5.09623e-08
0.0891251     3.42005e-08
0.1           2.28494e-08
0.112202      1.51896e-08
0.125893      1.00387e-08
0.141254      6.58362e-09
0.158489      4.2656e-09
0.177828      2.70289e-09
0.199526      1.63882e-09
0.223872      9.08595e-10
0.251189      4.20582e-10
0.281838      1.3616e-10
0.316228      2.20094e-11
0.354813      9.48768e-13
0.37          1.77917e-13
