WAVELENGTH [um]       LUMINOSITY [W/Hz]
     0.443000      0.00000
       1.0131223   2.9706141e+14
       1.0269350   3.8864722e+14
       1.0409360   5.1991845e+14
       1.0551279   6.5941114e+14
       1.0695133   1.0287623e+15
       1.0840947   1.5457943e+15
       1.0988750   2.1911102e+15
       1.1138568   2.7274767e+15
       1.1290428   3.5805596e+15
       1.1444359   5.0735066e+15
       1.1600388   6.6213238e+15
       1.1758546   8.7366583e+15
       1.1918859   1.1710966e+16
       1.2081358   1.5576168e+16
       1.2246072   2.1262885e+16
       1.2413032   2.7789134e+16
       1.2582267   3.3467542e+16
       1.2753811   4.7651956e+16
       1.2927694   6.3473441e+16
       1.3103947   7.8322275e+16
       1.3282602   9.8964288e+16
       1.3463695   1.3174552e+17
       1.3647255   1.6646540e+17
       1.3833319   2.1239744e+17
       1.4021919   2.6743360e+17
       1.4213089   3.4610177e+17
       1.4406868   4.2535124e+17
       1.4603288   5.3641355e+17
       1.4802384   6.4844258e+17
       1.5004197   8.5177143e+17
       1.5208760   1.0750011e+18
       1.5416113   1.2969976e+18
       1.5626293   1.5880692e+18
       1.5839337   1.9722657e+18
       1.6055287   2.4033939e+18
       1.6274180   2.9421467e+18
       1.6496058   3.5895433e+18
       1.6720962   4.3571153e+18
       1.6948931   5.2776799e+18
       1.7180009   6.3570486e+18
       1.7414238   7.6614934e+18
       1.7651658   9.1428703e+18
       1.7892318   1.1032038e+19
       1.8136257   1.3077653e+19
       1.8383521   1.5166949e+19
       1.8634158   1.8517629e+19
       1.8888212   2.2300429e+19
       1.9145728   2.5554470e+19
       1.9406757   3.0130665e+19
       1.9671343   3.5346271e+19
       1.9939539   4.1311764e+19
       2.0211388   4.7891731e+19
       2.0486947   5.6881449e+19
       2.0766261   6.5042190e+19
       2.1049382   7.4656975e+19
       2.1336365   8.8202568e+19
       2.1627259   1.0166311e+20
       2.1922119   1.1457260e+20
       2.2221001   1.3080134e+20
       2.2523956   1.5230140e+20
       2.2831042   1.7036537e+20
       2.3142314   1.9484988e+20
       2.3457831   2.1939191e+20
       2.3777650   2.5317282e+20
       2.4101828   2.8316517e+20
       2.4430427   3.1840163e+20
       2.4763505   3.6101612e+20
       2.5101124   4.0034771e+20
       2.5443347   4.5395506e+20
       2.5790236   5.0305193e+20
       2.6141853   5.6197431e+20
       2.6498265   6.3342215e+20
       2.6859534   6.9587450e+20
       2.7225732   7.7590437e+20
       2.7596921   8.4588430e+20
       2.7973171   9.4056923e+20
       2.8354550   1.0523121e+21
       2.8741128   1.1420921e+21
       2.9132978   1.2501928e+21
       2.9530171   1.3824112e+21
       2.9932777   1.5406220e+21
       3.0340872   1.6615877e+21
       3.0754532   1.6800403e+21
       3.1173833   1.7525868e+21
       3.1598849   1.8168593e+21
       3.2029659   1.8589672e+21
       3.2466345   1.9195575e+21
       3.2908984   2.1010311e+21
       3.3357655   2.0252621e+21
       3.3812444   1.8681641e+21
       3.4273437   1.7781162e+21
       3.4740714   1.6846481e+21
       3.5214358   1.5876177e+21
       3.5694464   1.5041647e+21
       3.6181112   1.4252807e+21
       3.6674398   1.3511276e+21
       3.7174405   1.2840232e+21
       3.7681233   1.2244311e+21
       3.8194968   1.1752852e+21
       3.8715710   1.1271125e+21
       3.9243550   1.0869753e+21
       3.9778589   1.0589555e+21
       4.0320917   1.0449382e+21
       4.0870643   1.0292392e+21
       4.1427862   1.0177767e+21
       4.1992683   1.0251785e+21
       4.2565198   1.0406137e+21
       4.3145522   1.0658551e+21
       4.3733757   1.1033025e+21
       4.4330015   1.1495367e+21
       4.4934397   1.2058250e+21
       4.5547022   1.2654624e+21
       4.6167999   1.2932426e+21
       4.6797444   1.3607364e+21
       4.7435468   1.4584957e+21
       4.8082190   1.5627628e+21
       4.8737733   1.6409013e+21
       4.9402210   1.6281147e+21
       5.0075745   1.7342613e+21
       5.0758467   1.7883689e+21
       5.1450495   1.8333827e+21
       5.2151960   1.9228985e+21
       5.2862987   2.0190254e+21
       5.3583706   2.1190349e+21
       5.4314256   2.2007643e+21
       5.5054760   2.3401148e+21
       5.5805366   2.4770708e+21
       5.6566202   2.5999458e+21
       5.7337409   2.7611458e+21
       5.8119135   2.9696039e+21
       5.8911518   3.2050079e+21
       5.9714702   3.6259373e+21
       6.0528838   4.4491378e+21
       6.1354073   5.3557204e+21
       6.2190557   6.8049522e+21
       6.3038448   1.0383618e+22
       6.3897901   7.7156657e+21
       6.4769069   5.9339926e+21
       6.5652116   5.4582320e+21
       6.6547201   5.6190457e+21
       6.7454483   5.7437459e+21
       6.8374147   6.1348052e+21
       6.9306342   6.4950579e+21
       7.0251248   6.9258230e+21
       7.1209037   7.3938375e+21
       7.2179881   7.8627302e+21
       7.3163967   9.2928359e+21
       7.4161467   1.1995052e+22
       7.5172561   1.4846014e+22
       7.6197443   2.1648339e+22
       7.7236303   2.2091596e+22
       7.8289326   2.1008673e+22
       7.9356701   1.9682226e+22
       8.0438631   1.5321374e+22
       8.1535310   1.2670843e+22
       8.2646943   1.1266577e+22
       8.3773732   1.0925700e+22
       8.4915881   1.2208499e+22
       8.6073607   1.5122778e+22
       8.7247107   1.4831000e+22
       8.8436615   1.3323438e+22
       8.9642341   1.2076230e+22
       9.0864498   1.0617974e+22
       9.2103326   9.1427003e+21
       9.3359037   7.8607552e+21
       9.4631873   6.6852215e+21
       9.5922060   6.8164190e+21
       9.7229841   6.8935111e+21
       9.8555443   7.0171191e+21
       9.9899130   7.0371069e+21
       10.126113   7.2085890e+21
       10.264170   7.5563615e+21
       10.404109   8.0264251e+21
       10.545956   8.5336885e+21
       10.689736   8.9857568e+21
       10.835478   9.9662153e+21
       10.983207   1.1493194e+22
       11.132949   1.6077559e+22
       11.284733   5.3276449e+22
       11.438586   3.9868852e+22
       11.594536   2.1843907e+22
       11.752614   1.5341935e+22
       11.912846   1.3010622e+22
       12.075263   1.3127987e+22
       12.239893   1.4260876e+22
       12.406770   1.7050579e+22
       12.575921   1.8409857e+22
       12.747378   1.8278631e+22
       12.921172   1.8007558e+22
       13.097336   1.7621056e+22
       13.275901   1.6401129e+22
       13.456903   1.4562695e+22
       13.640370   1.3840940e+22
       13.826340   1.3192855e+22
       14.014845   1.2561076e+22
       14.205920   1.1920403e+22
       14.399600   1.3377295e+22
       14.595920   1.3282826e+22
       14.794918   1.1391642e+22
       14.996628   1.1688683e+22
       15.201087   1.2584880e+22
       15.408336   1.3646622e+22
       15.618409   1.4899084e+22
       15.831346   1.6207879e+22
       16.047187   1.7437686e+22
       16.265970   1.8524835e+22
       16.487737   2.2950694e+22
       16.712526   2.4824072e+22
       16.940381   2.4940225e+22
       17.171343   2.5913321e+22
       17.405453   2.7763672e+22
       17.642754   3.0160591e+22
       17.883290   3.2390431e+22
       18.127107   3.4570189e+22
       18.374248   3.5703523e+22
       18.624757   3.7032099e+22
       18.878682   3.8639236e+22
       19.136070   4.0246586e+22
       19.396967   4.1586723e+22
       19.661420   4.2406570e+22
       19.929479   4.4845730e+22
       20.201193   4.6791540e+22
       20.476610   4.9138342e+22
       20.755784   5.0656156e+22
       21.038764   5.2383374e+22
       21.325601   5.4267442e+22
       21.616348   5.5886938e+22
       21.911060   5.8461490e+22
       22.209790   6.0920079e+22
